Rank,hand,WinningProbability,Opponent,tie
1,AAo,0.849334694,0.145110204,0.005555102
2,KKo,0.821485714,0.172934694,0.005579592
3,QQo,0.795383673,0.198485714,0.006130612
4,JJo,0.771253061,0.222363265,0.006383673
5,TTo,0.744644898,0.247946939,0.007408163
6,99o,0.716208163,0.275763265,0.008028571
7,88o,0.686273469,0.305016327,0.008710204
8,AKs,0.662567347,0.321432653,0.016
9,77o,0.655673469,0.33384898,0.010477551
10,AQs,0.651657143,0.330432653,0.017910204
11,AKo,0.646579592,0.336844898,0.01657551
12,AJs,0.646138776,0.333979592,0.019881633
13,AQo,0.634420408,0.347244898,0.018334694
14,ATs,0.63417551,0.344146939,0.021677551
15,AJo,0.628314286,0.350657143,0.021028571
16,66o,0.626934694,0.36144898,0.011616327
17,KQs,0.623338776,0.356877551,0.019783673
18,KJs,0.616420408,0.362183673,0.021395918
19,ATo,0.616297959,0.360546939,0.023155102
20,A9s,0.614073469,0.360897959,0.025028571
21,KTs,0.606702041,0.369020408,0.024277551
22,A8s,0.604979592,0.366661224,0.028359184
23,KQo,0.603334694,0.376171429,0.020493878
24,55o,0.597310204,0.388689796,0.014
25,A7s,0.594746939,0.37324898,0.032004082
26,KJo,0.594697959,0.383293878,0.022008163
27,A9o,0.592110204,0.381387755,0.026502041
28,QJs,0.590861224,0.385571429,0.023567347
29,K9s,0.585918367,0.387236735,0.026844898
30,QTs,0.583897959,0.389257143,0.026844898
31,A6s,0.582959184,0.383314286,0.033726531
32,KTo,0.582289796,0.393432653,0.024277551
33,A5s,0.581440816,0.38184898,0.036710204
34,A8o,0.581,0.389106122,0.029893878
35,A4s,0.571146939,0.390273469,0.038579592
36,A7o,0.570187755,0.397236735,0.03257551
37,QJo,0.565546939,0.410069388,0.024383673
38,K8s,0.565338776,0.404669388,0.029991837
39,K9o,0.564289796,0.407591837,0.028118367
40,Q9s,0.561857143,0.409195918,0.028946939
41,44o,0.561506122,0.423604082,0.014889796
42,A3s,0.561461224,0.400959184,0.037579592
43,A6o,0.5614,0.402502041,0.036097959
44,JTs,0.560922449,0.41162449,0.027453061
45,A5o,0.559110204,0.402118367,0.038771429
46,K7s,0.558620408,0.408616327,0.032763265
47,QTo,0.556693878,0.416526531,0.026779592
48,A2s,0.554710204,0.407987755,0.037302041
49,K6s,0.548440816,0.415146939,0.036412245
50,A4o,0.547702041,0.412812245,0.039485714
51,K8o,0.545726531,0.422734694,0.031538776
52,Q8s,0.541534694,0.427453061,0.031012245
53,J9s,0.541440816,0.428706122,0.029853061
54,K5s,0.539914286,0.421069388,0.039016327
55,JTo,0.539673469,0.43184898,0.028477551
56,A3o,0.538179592,0.422661224,0.039159184
Rank,hand,WinningProbability,Opponent,tie
57,Q9o,0.53724898,0.432191837,0.030559184
58,K7o,0.532253061,0.432457143,0.035289796
59,A2o,0.529791837,0.430159184,0.04004898
60,K4s,0.528530612,0.432097959,0.039371429
61,33o,0.527265306,0.455689796,0.017044898
62,Q7s,0.526730612,0.438240816,0.035028571
63,T9s,0.523289796,0.443963265,0.032746939
64,J8s,0.522812245,0.442995918,0.034191837
65,K6o,0.52177551,0.440167347,0.038057143
66,K3s,0.521032653,0.439514286,0.039453061
67,Q8o,0.520289796,0.446636735,0.033073469
68,Q6s,0.515763265,0.445677551,0.038559184
69,J9o,0.515555102,0.452938776,0.031506122
70,K2s,0.514130612,0.447040816,0.038828571
71,K5o,0.51117551,0.448734694,0.040089796
72,Q5s,0.507563265,0.451934694,0.040502041
73,T8s,0.505179592,0.458240816,0.036579592
74,K4o,0.504473469,0.454502041,0.04102449
75,J7s,0.504240816,0.457693878,0.038065306
76,Q7o,0.500567347,0.4624,0.037032653
77,Q4s,0.499955102,0.458444898,0.0416
78,J8o,0.496318367,0.469057143,0.03462449
79,22o,0.495795918,0.485767347,0.018436735
80,T9o,0.49577551,0.470616327,0.033608163
